"Reference","Value","Footprint","Qty","Mfpn","Manufacturer","Price"
"BT1","lir2032","InsuDos:BATT_HLDR_via","1"," BAT-HLD-001","TE connectivity","0.36"
"BZ1","Buzzer","Buzzer_Beeper:Buzzer_CUI_CPT-9019S-SMT","1","CPT-9019S-SMT","CUI","1.1"
"C1,C6,C12,C22,C30,C31,C32,C33,C39,C40","4u7","Capacitor_SMD:C_0603_1608Metric","10","CL10A475KP8NNNL","Samsung","0.019"
"C2,C3,C5,C9,C10,C20,C23,C24,C25,C26,C27,C34,C35,C36,C37","100n","Capacitor_SMD:C_0402_1005Metric","15","MLASE105SB7104KFNA01","Tayo Yuden","0.013"
"C4,C38","100p","Capacitor_SMD:C_0402_1005Metric","2","CL05C101JB51PND","Samsung","0.019"
"C7,C8,C18,C19","4p","Capacitor_SMD:C_0402_1005Metric","4","UMK105CH040CVHF","Tayo Yuden","0.17"
"C11,C13,C14,C15,C21,C28,C29","1u","Capacitor_SMD:C_0402_1005Metric","7"," CL05A105KO5NNNC","Samsung","0.2"
"D1,D2,D3"," PMEG3002","Diode_SMD:D_SOD-882","3","PMEG3002AEL,315","Nexperia","0.18"
"F1","16V/80mA","Fuse:Fuse_0603_1608Metric","1","0ZCM0008FF2G","Bell","0.2"
"FL1","BFCN-2435","InsuDos:St_filter","1"," MLPF-WB55-01E3","ST","0.3"
"Inf.1","IM67D120AXTSA1","Sensor_Audio:Infineon_PG-LLGA-5-2","1","IM67D120AXTSA1","Infineon","1.8"
"J1","E-paper(C097)","InsuDos:MOLEX_503480-1800","1"," 5034801800","Molex","1.6"
"J2","USB_B_Micro","InsuDos:AMPHENOL_10118193-0001LF","1","10118193-0001LF","Amphenol","0.33"
"L2","10nH","Inductor_SMD:L_0402_1005Metric","1","36550402J10NT","Te Conectivity","0.05"
"L3","10uH","Inductor_SMD:L_0603_1608Metric","1","MLZ1608E100MT","TDK","0.09"
"L5","47u/0.2A","InsuDos:IND_TAIYO_BRC2016_TAY","1","BRC2016T470K","Tayo Yuden","0.2"
"Q1","Si1308EDL","Package_TO_SOT_SMD:SOT-323_SC-70","1","SI1308EDL-T1-BE3","Vishay Siliconix","0.23"
"R1","10","Resistor_SMD:R_0402_1005Metric","1"," CR0402-JW-100GLF","Bourns","0.001"
"R2,R6,R8","470k","Resistor_SMD:R_0402_1005Metric","3"," RC0402FR-13470KL","Yageo","0.008"
"R3,R16,R17","10k","Resistor_SMD:R_0402_1005Metric","3"," RC0402FR-7W10KL","Yageo","0.012"
"R4","2R2","Resistor_SMD:R_0402_1005Metric","1"," RC0402FR-072R2L","Yageo","0.012"
"R5","12k","Resistor_SMD:R_0402_1005Metric","1","CR0402-FX-1202GLF","Bourns","0.007"
"R7","47k","Resistor_SMD:R_0402_1005Metric","1"," RC0402FR-1347KL","Yageo","0.007"
"R9,R10,R18,R19,R20,R21,R22","180","Resistor_SMD:R_0402_1005Metric","7","CR0402-FX-1800GLF","Bourns","0.007"
"R11,R12,R13,R14","220","Resistor_SMD:R_0402_1005Metric","4","BLM15AG221SN1D","Murata","0.022"
"R23","0R","Resistor_SMD:R_0402_1005Metric","1"," AC0402JR-070RL","Yageo","0.009"
"SW1","list","Button_Switch_SMD:SW_SPST_B3U-3100P-B","1","B3U-3100P-B","Omron","0.8"
"SW2","enter","Button_Switch_SMD:SW_SPST_B3U-3100P-B","1","B3U-3100P-B","Omron","0.8"
"SW3","dose","Button_Switch_SMD:SW_SPST_B3U-1100P-B","1","B3U-1100P-B","Omron","0.7"
"SW4","esc","Button_Switch_SMD:SW_SPST_B3U-3100P-B","1","B3U-3100P-B","Omron","0.8"
"TH1","10k/ntc","Resistor_SMD:R_0402_1005Metric","1","TH05-3H103F","Mitsubishi","2.8"
"U1","USBLC6-2P6","Package_TO_SOT_SMD:SOT-666","1","USBLC6-2P6","ST","0.3"
"U2","TMP102xxDRL","Package_TO_SOT_SMD:SOT-563","1"," TMP102AIDRLR","Texas Instruments","0.9"
"U3","STNS01 ","InsuDos:stns01","1","STNS01PUR","ST","2"
"U4","STM32WB55CGUx","Package_DFN_QFN:QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm","1","STM32WB55CGU6","ST","4.5"
"Y1","32.768k","Crystal:Crystal_SMD_2012-2Pin_2.0x1.2mm","1","CM8V-T1A-32.768kHz-4pF-20PPM-TA-QC T3","Abracon","0.6"
"Y2","32MHz","InsuDos:XTAL_ABM8W-32.0000MHZ-4-B1U-T3","1","ABM8W-32.0000MHZ-4-B1U-T3","Abracon","0.4"
